country_name,country_code,scenario,year,gdp_per_capita,population,hdi,control_of_corruption,employment_agriculture,gini,is_extrapolated
Afghanistan,AFG,SSP1,2025,,43.793695,,,47.48,33.139,False
Afghanistan,AFG,SSP1,2030,,49.23856,,,45.09,32.813,False
Afghanistan,AFG,SSP1,2035,,54.439767,,,41.0,31.837,False
Afghanistan,AFG,SSP1,2040,,59.275958,,,36.16,30.44,False
Afghanistan,AFG,SSP1,2045,,63.892211,,,30.96,29.079,False
Afghanistan,AFG,SSP1,2050,,68.11567500000001,,,25.82,27.875,False
Afghanistan,AFG,SSP1,2055,,71.776,,,20.65000000000031,26.806,True
Afghanistan,AFG,SSP1,2060,,74.77905100000001,,,15.480000000000619,25.912,True
Afghanistan,AFG,SSP1,2065,,77.2072450000001,,,10.31000000000093,25.196,True
Afghanistan,AFG,SSP1,2070,,79.017442,,,5.140000000001237,24.622,True
Afghanistan,AFG,SSP1,2075,,80.21610000000001,,,0.0,24.161,True
Afghanistan,AFG,SSP1,2080,,80.726987,,,0.0,23.792,True
Afghanistan,AFG,SSP1,2085,,80.546983,,,0.0,23.496,True
Afghanistan,AFG,SSP1,2090,,79.80978999999999,,,0.0,23.259,True
Afghanistan,AFG,SSP1,2095,,78.60711499999991,,,0.0,23.069,True
Afghanistan,AFG,SSP1,2100,,76.984947,,,0.0,22.916,True
Albania,ALB,SSP1,2025,17485.5,2.792432,,,33.71,29.556,False
Albania,ALB,SSP1,2030,21389.9,2.714577,,,30.22,29.621,False
Albania,ALB,SSP1,2035,26155.1,2.615949999999999,,,26.81,29.576,False
Albania,ALB,SSP1,2040,31642.9,2.505335,,,23.89,29.463,False
Albania,ALB,SSP1,2045,37362.3,2.390556,,,21.31,29.285,False
Albania,ALB,SSP1,2050,42719.7,2.274377,,,19.16,29.05,False
Albania,ALB,SSP1,2055,47851.9,2.157842,,,16.795000000000133,28.818,True
Albania,ALB,SSP1,2060,53046.7,2.041092,,,14.43000000000027,28.54,True
Albania,ALB,SSP1,2065,58470.7,1.933387999999999,,,12.065000000000403,28.23,True
Albania,ALB,SSP1,2070,64152.0,1.835433,,,9.700000000000538,27.889,True
Albania,ALB,SSP1,2075,69647.4,1.746858,,,7.3350000000006705,27.527,True
Albania,ALB,SSP1,2080,74940.2,1.664928,,,4.970000000000805,27.151,True
Albania,ALB,SSP1,2085,80116.1,1.585972,,,2.6050000000009383,26.765,True
Albania,ALB,SSP1,2090,85341.0,1.507258,,,0.2400000000010749,26.36,True
Albania,ALB,SSP1,2095,90651.4,1.428346,,,0.0,25.946,True
Albania,ALB,SSP1,2100,96038.0,1.351713999999999,,,0.0,25.526,True
Algeria,DZA,SSP1,2025,11686.2,46.489671,0.717604291,0.390429317,11.2,39.924,False
Algeria,DZA,SSP1,2030,12115.1,49.1854889999999,0.735381627,0.42487037,10.21,39.233,False
Algeria,DZA,SSP1,2035,13060.5,51.363636,0.752426014,0.456174324,9.06,38.534,False
Algeria,DZA,SSP1,2040,14376.7,53.239932,0.768622341,0.484159928,7.95,37.786,False
Algeria,DZA,SSP1,2045,16245.8,54.998863,0.782820832,0.509629932,6.890000000000001,36.858,False
Algeria,DZA,SSP1,2050,18609.6,56.524866,0.793052404,0.531384531,5.87,35.598,False
Algeria,DZA,SSP1,2055,21567.4,57.566367,0.799726267,0.552336687,4.830000000000062,34.35,True
Algeria,DZA,SSP1,2060,25286.3,58.053923,0.802532832,0.571020265,3.7900000000001253,33.147,True
Algeria,DZA,SSP1,2065,29839.5,58.05242500000001,0.805081883,0.588148272,2.7500000000001874,32.136,True
Algeria,DZA,SSP1,2070,35037.1,57.70432,0.807233285,0.603012815,1.7100000000002504,31.322,True
Algeria,DZA,SSP1,2075,40829.4,57.133663,0.808913435,0.615867355,0.6700000000003126,30.66,True
