Model,Threshold,RMSE,MAE,R2
XGBoost_CPU,poverty_3,5.913360556141188,2.9654344574967397,0.880161408675073
XGBoost_GPU,poverty_3,5.913360556141188,2.9654344574967397,0.880161408675073
LightGBM,poverty_3,7.00128715205465,3.4233334790643504,0.8320098740728662
RandomForest,poverty_3,6.760707464622148,3.234966518467889,0.8433565412198121
Ridge,poverty_3,9.24280446014526,6.223481021341193,0.7072239780136633
MLP,poverty_3,7.980878615170607,4.218815563909484,0.7817122390941572
GAM,poverty_3,7.578621378488385,4.381435072820332,0.8031622480476737
XGBoost_CPU,poverty_8_30,8.183657793983967,4.820222810609297,0.936530415316478
XGBoost_GPU,poverty_8_30,8.183657793983967,4.820222810609297,0.936530415316478
LightGBM,poverty_8_30,8.204676601476173,5.027774974636127,0.9362039676078803
RandomForest,poverty_8_30,7.9139721725460035,4.724929883352265,0.9406446633230514
Ridge,poverty_8_30,12.763792512000071,9.780016689367613,0.8456060755458301
MLP,poverty_8_30,9.005493595454126,5.778184701144607,0.923142584113765
GAM,poverty_8_30,10.53635390380379,7.250500894143774,0.8947913532919823
XGBoost_CPU,poverty_10,7.641034565444525,4.663950968175714,0.9501666267048843
XGBoost_GPU,poverty_10,7.641034565444525,4.663950968175714,0.9501666267048843
LightGBM,poverty_10,8.064715217863322,5.1039391740608595,0.9444870853780452
RandomForest,poverty_10,7.745881704680172,4.649194270156812,0.9487896577989067
Ridge,poverty_10,12.981061504093983,10.194700867706796,0.8561743409251893
MLP,poverty_10,8.648089075409004,5.676552965484334,0.9361653816729283
GAM,poverty_10,10.325741599752428,7.225272952834794,0.9089964230198604
