country_name,country_code,scenario,year,approach,gdp_per_capita,population,hdi,control_of_corruption,employment_agriculture,gini,poverty_threshold,predicted_poverty,rank
Burundi,BDI,SSP1,2050,A,2468.75,19.687779,0.557722796,0.411955386,67.58,33.435,poverty_3,38.433494076623,1
Chad,TCD,SSP1,2050,A,4124.72,30.617681,0.569202592,0.3657742,51.93,43.993,poverty_3,36.741442827695614,2
Niger,NER,SSP1,2050,A,4818.67,51.737853,0.536198777,0.434520293,54.50000000000001,31.525,poverty_3,34.38923164226703,3
Central African Republic,CAF,SSP1,2050,A,2514.15,9.79684100000001,0.598332066,0.430579184,46.75,57.954,poverty_3,34.20977416544033,4
Madagascar,MDG,SSP1,2050,A,4687.93,42.856146,0.589484826,0.49500418,43.43,40.854,poverty_3,31.051998788958173,5
Malawi,MWI,SSP1,2050,A,4535.13,32.986778,0.633336401,0.4738413,49.98,47.659,poverty_3,29.38634988101324,6
Mozambique,MOZ,SSP1,2050,A,8340.0,51.032201,0.589716737,0.46402513,40.44,46.446,poverty_3,29.277955592426494,7
Rwanda,RWA,SSP1,2050,A,8652.05,20.577416,0.597489483,0.5204015,37.62,53.054,poverty_3,28.676978453976922,8
Mali,MLI,SSP1,2050,A,6891.25,38.560811,0.583456555,0.472628168,36.93,33.115,poverty_3,24.689597079064846,9
Guinea-Bissau,GNB,SSP1,2050,A,6423.16,2.989365,0.592383243,0.409398909,28.22,52.374,poverty_3,24.308452277403568,10
Central African Republic,CAF,SSP4,2050,A,1451.94,11.707276,0.29580028,0.24781161,69.53,65.023,poverty_3,81.89521537409158,1
Burundi,BDI,SSP4,2050,A,1418.85,24.418962,0.312555905,0.26886892,84.8,39.702,poverty_3,80.15076324352609,2
Chad,TCD,SSP4,2050,A,2365.24,41.435717,0.294278379,0.2101559,71.6,51.392,poverty_3,80.10228250790279,3
Niger,NER,SSP4,2050,A,2667.82,73.6185789999999,0.263384616,0.319411816,71.71,37.792,poverty_3,79.41924410590809,4
Mali,MLI,SSP4,2050,A,4388.8,50.15456,0.238307585,0.35502181,58.02,39.382,poverty_3,77.44622420352474,5
Mozambique,MOZ,SSP4,2050,A,3669.5,62.524691,0.318293468,0.347119352,66.67,53.783,poverty_3,76.58832255840187,6
Rwanda,RWA,SSP4,2050,A,5756.31,23.688914,0.333992818,0.4431947,59.91,60.123,poverty_3,72.98009613852348,7
Guinea-Bissau,GNB,SSP4,2050,A,4389.46,3.316402,0.322900294,0.256215385,53.8,59.443,poverty_3,69.47454526161302,8
Guinea,GIN,SSP4,2050,A,6802.93,24.364407,0.275416925,0.26083215,46.05,41.37,poverty_3,69.28301897823748,9
Sierra Leone,SLE,SSP4,2050,A,3481.71,14.462278,0.316352537,0.3220956,51.76,40.332,poverty_3,67.75986002442065,10
Burundi,BDI,SSP5,2050,A,3019.96,18.911506,0.578715924,0.405551466,60.26000000000001,32.701,poverty_3,33.07394264670189,1
Chad,TCD,SSP5,2050,A,4887.11,30.811921,0.581526381,0.3440483,45.54000000000001,42.993,poverty_3,31.783423644020175,2
Niger,NER,SSP5,2050,A,5751.35,51.32704200000001,0.550434675,0.430340434,48.47,30.791,poverty_3,30.256109851252823,3
Central African Republic,CAF,SSP5,2050,A,3109.68,9.15315199999998,0.613684604,0.419570156,38.81,57.52,poverty_3,28.34280723000854,4
Madagascar,MDG,SSP5,2050,A,5589.93,42.835135,0.604976231,0.497225099,36.8,39.431,poverty_3,25.58672550749801,5
Rwanda,RWA,SSP5,2050,A,10382.6,20.041167,0.611687322,0.5305784,31.46,52.62,poverty_3,24.10318976670195,6
Malawi,MWI,SSP5,2050,A,5427.34,32.336662,0.64851558,0.481390258,42.25,47.13,poverty_3,23.57529563907166,7
Mozambique,MOZ,SSP5,2050,A,10621.3,50.464725,0.602480134,0.467101638,33.09,45.551,poverty_3,23.37557470872549,8
Mali,MLI,SSP5,2050,A,8183.08,37.094657,0.595287834,0.467679332,31.0,32.381,poverty_3,21.0768344086946,9
Zambia,ZMB,SSP5,2050,A,9772.9,31.913697,0.647941442,0.5141443,20.6,56.9,poverty_3,20.48157702523796,10
